constructor_name,constructor_nationality,year,total_points,avg_finish_position,result_volatility,finish_rate,avg_grid_position,avg_position_delta,total_races,total_laps,dnf_count,best_finish,worst_finish,podiums,wins,championship_position,prev_year_points,yoy_growth_pct,points_per_race,momentum_slope
Aston Martin,British,2024,94.0,11.770833333333334,4.218699927467489,0.8958333333333334,11.041666666666666,-0.7291666666666666,48,2644,5,5,19,0,0,5,266.0,-64.66165413533834,1.9583333333333333,19.5
Caterham,Malaysian,2014,0.0,17.823529411764707,2.7355193206508686,0.6176470588235294,19.441176470588236,1.6176470588235294,34,1435,13,11,22,0,0,11,,,0.0,
Ferrari,Italian,2014,216.0,8.473684210526315,4.780234315783904,0.9210526315789473,7.947368421052632,-0.5263157894736842,38,2143,3,2,22,2,0,4,,,5.684210526315789,
Ferrari,Italian,2015,428.0,6.026315789473684,5.349851435700647,0.8157894736842105,6.394736842105263,0.3684210526315789,38,2091,7,1,19,16,3,2,216.0,98.14814814814815,11.263157894736842,212.0
Ferrari,Italian,2016,398.0,7.404761904761905,6.5222303674677296,0.8095238095238095,5.690476190476191,-1.7142857142857142,42,2151,8,2,22,11,0,3,428.0,-7.009345794392523,9.476190476190476,91.0
Ferrari,Italian,2017,522.0,5.475,5.791184724460144,0.85,3.45,-2.025,40,2100,6,1,20,20,5,2,398.0,31.155778894472363,13.05,47.0
Ferrari,Italian,2018,571.0,4.928571428571429,5.043193225468133,0.8809523809523809,3.3095238095238093,-1.619047619047619,42,2364,5,1,19,24,6,2,522.0,9.386973180076629,13.595238095238095,86.5
Ferrari,Italian,2019,504.0,6.0,5.788971853615392,0.8571428571428571,4.261904761904762,-1.7380952380952381,42,2334,6,1,20,19,3,2,571.0,-11.733800350262696,12.0,-9.0
Ferrari,Italian,2020,131.0,10.705882352941176,5.390954330338958,0.8235294117647058,10.264705882352942,-0.4411764705882353,34,1736,6,2,20,3,0,6,504.0,-74.0079365079365,3.8529411764705883,-220.0
Ferrari,Italian,2021,322.5,7.113636363636363,3.9485994519747516,0.9545454545454546,7.181818181818182,0.06818181818181818,44,2439,2,2,20,5,0,3,131.0,146.18320610687024,7.329545454545454,-90.75
Ferrari,Italian,2022,519.0,6.681818181818182,6.726458438804484,0.7954545454545454,4.318181818181818,-2.3636363636363638,44,2222,9,1,20,20,4,2,322.5,60.93023255813953,11.795454545454545,193.99999999999997
Ferrari,Italian,2023,363.0,7.863636363636363,5.959518121189537,0.8181818181818182,5.318181818181818,-2.5454545454545454,44,2393,8,1,20,9,1,3,519.0,-30.057803468208093,8.25,20.25
Ferrari,Italian,2024,595.0,5.145833333333333,4.409803311739306,0.9166666666666666,5.25,0.10416666666666667,48,2806,4,1,19,22,5,2,363.0,63.91184573002755,12.395833333333334,38.0
Force India,Indian,2014,155.0,9.973684210526315,4.7504585389217135,0.8157894736842105,11.5,1.5263157894736843,38,1930,7,3,22,1,0,6,,,4.078947368421052,
Force India,Indian,2015,136.0,10.526315789473685,4.963307757693632,0.8157894736842105,10.078947368421053,-0.4473684210526316,38,2024,7,3,20,1,0,5,155.0,-12.258064516129032,3.5789473684210527,-19.0
Force India,Indian,2016,173.0,9.952380952380953,5.079621557597458,0.8571428571428571,9.071428571428571,-0.8809523809523809,42,2302,6,3,22,2,0,4,136.0,27.205882352941174,4.119047619047619,9.0
Force India,Indian,2017,187.0,8.35,3.117773696167318,0.925,9.175,0.825,40,2291,3,4,18,0,0,4,173.0,8.092485549132949,4.675,25.5
Force India,Indian,2018,111.0,11.19047619047619,4.549125325941966,0.8095238095238095,10.69047619047619,-0.5,42,2248,8,3,20,1,0,7,187.0,-40.64171122994652,2.642857142857143,-30.999999999999996
Haas F1 Team,American,2016,29.0,14.452380952380953,4.516648773595152,0.7619047619047619,14.0,-0.4523809523809524,42,2126,10,5,22,0,0,8,,,0.6904761904761905,
Haas F1 Team,American,2017,47.0,12.55,3.8360636876079903,0.8,13.7,1.15,40,2040,8,6,20,0,0,8,29.0,62.06896551724138,1.175,18.0
Haas F1 Team,American,2018,93.0,11.976190476190476,4.603752950705174,0.7857142857142857,10.214285714285714,-1.7619047619047619,42,2246,9,4,20,0,0,5,47.0,97.87234042553192,2.2142857142857144,32.0
Haas F1 Team,American,2019,28.0,14.404761904761905,3.9140741908140018,0.7619047619047619,11.261904761904763,-3.142857142857143,42,2230,10,6,20,0,0,9,93.0,-69.89247311827957,0.6666666666666666,-9.5
Haas F1 Team,American,2020,3.0,15.794117647058824,2.8045354151500135,0.7058823529411765,15.205882352941176,-0.5882352941176471,34,1754,10,9,20,0,0,9,28.0,-89.28571428571429,0.08823529411764706,-45.0
Haas F1 Team,American,2021,0.0,17.386363636363637,1.990861787114093,0.7954545454545454,18.022727272727273,0.6363636363636364,44,2143,9,12,20,0,0,10,3.0,-100.0,0.0,-13.999999999999998
Haas F1 Team,American,2022,33.0,14.272727272727273,3.700179985337208,0.8181818181818182,13.045454545454545,-1.2272727272727273,44,2274,8,5,20,0,0,8,0.0,inf,0.75,15.0
Haas F1 Team,American,2023,9.0,15.068181818181818,3.0300642964452034,0.8409090909090909,11.113636363636363,-3.9545454545454546,44,2419,7,7,20,0,0,10,33.0,-72.72727272727273,0.20454545454545456,4.5
Haas F1 Team,American,2024,51.0,12.395833333333334,3.8412076078396,0.8958333333333334,12.729166666666666,0.3333333333333333,48,2624,5,6,20,0,0,7,9.0,466.6666666666667,1.0625,9.0
Lotus F1,British,2014,10.0,15.157894736842104,3.8381183156380696,0.6842105263157895,16.31578947368421,1.1578947368421053,38,1801,12,8,22,0,0,8,,,0.2631578947368421,
Lotus F1,British,2015,78.0,12.526315789473685,4.88094387252824,0.5789473684210527,11.052631578947368,-1.4736842105263157,38,1635,16,3,20,1,0,6,10.0,680.0,2.0526315789473686,68.0
Manor Marussia,British,2015,0.0,16.11111111111111,2.0532591204894275,0.8888888888888888,17.444444444444443,1.3333333333333333,36,1911,4,12,20,0,0,10,,,0.0,
Manor Marussia,British,2016,1.0,17.61904761904762,2.979215651831223,0.8095238095238095,19.142857142857142,1.5238095238095237,42,2167,8,10,22,0,0,11,0.0,inf,0.023809523809523808,1.0
Marussia,Russian,2014,2.0,16.806451612903224,2.914553766173131,0.7741935483870968,18.677419354838708,1.8709677419354838,31,1523,7,9,22,0,0,9,,,0.06451612903225806,
McLaren,British,2014,181.0,8.947368421052632,4.006396024339168,0.9210526315789473,8.631578947368421,-0.3157894736842105,38,2231,3,2,18,2,0,5,,,4.7631578947368425,
McLaren,British,2015,27.0,14.473684210526315,4.150785286205056,0.631578947368421,15.842105263157896,1.368421052631579,38,1698,14,5,20,0,0,9,181.0,-85.0828729281768,0.7105263157894737,-154.0
McLaren,British,2016,76.0,12.714285714285714,5.109941120780133,0.7619047619047619,12.571428571428571,-0.14285714285714285,42,2213,10,5,22,0,0,6,27.0,181.4814814814815,1.8095238095238095,-52.5
McLaren,British,2017,30.0,13.85,3.9128322747412017,0.55,13.85,0.0,40,1838,18,6,20,0,0,9,76.0,-60.526315789473685,0.75,1.5
McLaren,British,2018,62.0,12.761904761904763,4.16026220919368,0.7380952380952381,14.404761904761905,1.6428571428571428,42,2185,11,5,20,0,0,6,30.0,106.66666666666667,1.4761904761904763,-6.999999999999999
McLaren,British,2019,145.0,10.69047619047619,5.14420391450936,0.7619047619047619,9.80952380952381,-0.8809523809523809,42,2235,10,3,20,1,0,4,62.0,133.8709677419355,3.4523809523809526,57.49999999999999
McLaren,British,2020,202.0,8.617647058823529,4.817988426482401,0.8823529411764706,8.558823529411764,-0.058823529411764705,34,1897,4,2,20,2,0,3,145.0,39.310344827586206,5.9411764705882355,70.0
McLaren,British,2021,274.0,7.795454545454546,3.915262594505297,0.9545454545454546,8.272727272727273,0.4772727272727273,44,2490,2,1,19,5,1,4,202.0,35.64356435643564,6.2272727272727275,64.5
McLaren,British,2022,150.0,10.636363636363637,4.620937733741069,0.8863636363636364,9.727272727272727,-0.9090909090909091,44,2448,5,3,20,1,0,5,274.0,-45.25547445255474,3.409090909090909,-26.0
McLaren,British,2023,266.0,9.454545454545455,5.8685386852445145,0.9090909090909091,8.795454545454545,-0.6590909090909091,44,2458,4,2,20,9,0,4,150.0,77.33333333333333,6.045454545454546,-4.0
McLaren,British,2024,609.0,4.708333333333333,3.6141467509757614,1.0,4.395833333333333,-0.3125,48,2881,0,1,20,21,6,1,266.0,128.94736842105263,12.6875,229.5
Mercedes,German,2014,701.0,4.2105263157894735,6.151940562820642,0.868421052631579,2.9473684210526314,-1.263157894736842,38,2111,5,1,21,31,16,1,,,18.44736842105263,
Mercedes,German,2015,703.0,3.210526315789474,4.521168796127009,0.9473684210526315,1.8157894736842106,-1.394736842105263,38,2220,2,1,18,32,16,1,701.0,0.28530670470756064,18.5,2.0
Mercedes,German,2016,765.0,3.4761904761904763,5.0035991691742,0.9285714285714286,2.9761904761904763,-0.5,42,2388,3,1,22,33,19,1,703.0,8.819345661450924,18.214285714285715,32.0
Mercedes,German,2017,668.0,3.175,2.9342146112061034,0.975,3.475,0.3,40,2363,1,1,17,26,12,1,765.0,-12.679738562091503,16.7,-17.5
Mercedes,German,2018,655.0,3.857142857142857,3.960607421826327,0.9285714285714286,3.4285714285714284,-0.42857142857142855,42,2457,3,1,19,25,11,1,668.0,-1.9461077844311379,15.595238095238095,-55.0
Mercedes,German,2019,739.0,3.238095238095238,3.792222617536104,0.9523809523809523,3.0238095238095237,-0.21428571428571427,42,2495,2,1,20,32,15,1,655.0,12.82442748091603,17.595238095238095,35.5
Mercedes,German,2020,573.0,3.735294117647059,4.22337523738087,0.9705882352941176,2.088235294117647,-1.6470588235294117,34,2031,1,1,19,25,13,1,739.0,-22.46278755074425,16.852941176470587,-41.0
Mercedes,German,2021,604.5,5.409090909090909,5.743826541634118,0.8863636363636364,4.340909090909091,-1.0681818181818181,44,2403,5,1,20,28,9,1,573.0,5.49738219895288,13.738636363636363,-67.25
Mercedes,German,2022,495.0,5.5227272727272725,4.510909960094095,0.9318181818181818,5.9772727272727275,0.45454545454545453,44,2486,3,1,20,17,1,3,604.5,-18.11414392059553,11.25,-39.0
Mercedes,German,2023,374.0,7.136363636363637,4.9395928138885115,0.8636363636363636,6.2727272727272725,-0.8636363636363636,44,2520,6,2,19,8,0,2,495.0,-24.444444444444443,8.5,-115.25
Mercedes,German,2024,433.0,6.854166666666667,4.8068638129566414,0.8958333333333334,6.833333333333333,-0.020833333333333332,48,2769,5,1,20,9,4,4,374.0,15.775401069518717,9.020833333333334,-30.999999999999996
RB F1 Team,Italian,2024,40.0,13.291666666666666,3.7640987920499724,0.8541666666666666,12.104166666666666,-1.1875,48,2602,7,7,20,0,0,8,,,0.8333333333333334,
Racing Point,British,2019,73.0,11.785714285714286,4.099587809653458,0.8809523809523809,13.761904761904763,1.9761904761904763,42,2380,5,4,20,0,0,7,,,1.7380952380952381,
Racing Point,British,2020,210.0,9.205882352941176,5.902128079305601,0.7647058823529411,8.294117647058824,-0.9117647058823529,34,1776,8,1,20,4,1,4,73.0,187.67123287671234,6.176470588235294,137.0
Red Bull,Austrian,2014,405.0,6.7368421052631575,5.815562581260527,0.8421052631578947,7.026315789473684,0.2894736842105263,38,2065,6,1,22,12,3,2,,,10.657894736842104,
Red Bull,Austrian,2015,187.0,9.0,4.399017089231565,0.8421052631578947,8.894736842105264,-0.10526315789473684,38,2107,6,2,19,3,0,4,405.0,-53.827160493827165,4.921052631578948,-218.0
Red Bull,Austrian,2016,468.0,5.738095238095238,4.948808793893068,0.9285714285714286,4.809523809523809,-0.9285714285714286,42,2404,3,1,22,16,2,2,187.0,150.2673796791444,11.142857142857142,31.5
Red Bull,Austrian,2017,368.0,8.65,7.244980578976288,0.675,6.55,-2.1,40,1723,13,1,20,13,3,3,468.0,-21.367521367521366,9.2,90.5
Red Bull,Austrian,2018,419.0,7.642857142857143,6.551192140893057,0.7142857142857143,7.619047619047619,-0.023809523809523808,42,2161,12,1,20,13,4,3,368.0,13.858695652173914,9.976190476190476,-24.5
Red Bull,Austrian,2019,417.0,6.261904761904762,4.477910683373381,0.9047619047619048,5.809523809523809,-0.4523809523809524,42,2421,4,1,20,9,3,3,419.0,-0.47732696897374705,9.928571428571429,24.5
Red Bull,Austrian,2020,319.0,7.705882352941177,6.206201257318829,0.7941176470588235,5.205882352941177,-2.5,34,1789,7,1,20,13,2,2,417.0,-23.501199040767386,9.382352941176471,-49.99999999999999
Red Bull,Austrian,2021,578.5,5.840909090909091,6.069148753836447,0.8636363636363636,3.6363636363636362,-2.2045454545454546,44,2397,6,1,20,23,11,2,319.0,81.34796238244513,13.147727272727273,80.75
Red Bull,Austrian,2022,724.0,4.454545454545454,5.592580406443612,0.8863636363636364,4.113636363636363,-0.3409090909090909,44,2454,5,1,20,28,17,1,578.5,25.151253241140882,16.454545454545453,202.5
Red Bull,Austrian,2023,790.0,3.5681818181818183,4.561709834846595,0.9545454545454546,5.318181818181818,1.75,44,2540,2,1,20,30,21,1,724.0,9.116022099447514,17.954545454545453,105.75
Red Bull,Austrian,2024,537.0,6.625,5.759820475925758,0.875,6.041666666666667,-0.5833333333333334,48,2653,6,1,20,18,9,3,790.0,-32.0253164556962,11.1875,-93.5
Renault,French,2016,8.0,15.523809523809524,3.7562182281475693,0.7380952380952381,17.19047619047619,1.6666666666666667,42,2038,11,7,22,0,0,9,,,0.19047619047619047,
Renault,French,2017,57.0,13.25,4.611857626730336,0.65,11.75,-1.5,40,1910,14,6,20,0,0,6,8.0,612.5,1.425,49.0
Renault,French,2018,122.0,11.071428571428571,4.920801328471382,0.7857142857142857,10.642857142857142,-0.42857142857142855,42,2131,9,5,20,0,0,4,57.0,114.03508771929825,2.9047619047619047,57.0
Renault,French,2019,91.0,11.976190476190476,4.69295317724453,0.7619047619047619,10.523809523809524,-1.4523809523809523,42,2302,10,4,20,0,0,5,122.0,-25.40983606557377,2.1666666666666665,17.0
Renault,French,2020,181.0,8.941176470588236,4.741443179292555,0.8529411764705882,8.823529411764707,-0.11764705882352941,34,1840,5,2,19,3,0,5,91.0,98.9010989010989,5.323529411764706,29.499999999999996
Sauber,Swiss,2014,0.0,16.210526315789473,2.9146219887193943,0.6052631578947368,15.18421052631579,-1.0263157894736843,38,1791,15,11,22,0,0,10,,,0.0,
Sauber,Swiss,2015,36.0,12.552631578947368,3.651710953460647,0.8421052631578947,13.947368421052632,1.394736842105263,38,2069,6,5,20,0,0,8,0.0,inf,0.9473684210526315,36.0
Sauber,Swiss,2016,2.0,15.928571428571429,2.9333478512997293,0.7857142857142857,18.166666666666668,2.238095238095238,42,2215,9,9,22,0,0,10,36.0,-94.44444444444444,0.047619047619047616,1.0
Sauber,Swiss,2017,5.0,15.1,2.7061184236978475,0.725,16.675,1.575,40,2040,11,8,20,0,0,10,2.0,150.0,0.125,-15.499999999999998
Sauber,Swiss,2018,48.0,12.785714285714286,4.141024465478727,0.7619047619047619,13.833333333333334,1.0476190476190477,42,2149,10,6,20,0,0,8,5.0,860.0,1.1428571428571428,23.0
Sauber,Swiss,2024,4.0,15.666666666666666,2.537659613119289,0.9166666666666666,15.5,-0.16666666666666666,48,2705,4,8,20,0,0,10,48.0,-91.66666666666666,0.08333333333333333,-2.6511627906976742
Toro Rosso,Italian,2014,30.0,13.289473684210526,4.386144614621118,0.7368421052631579,11.447368421052632,-1.8421052631578947,38,1895,10,6,22,0,0,7,,,0.7894736842105263,
Toro Rosso,Italian,2015,67.0,11.894736842105264,4.144612091418894,0.6842105263157895,11.342105263157896,-0.5526315789473685,38,1983,12,4,19,0,0,7,30.0,123.33333333333334,1.763157894736842,37.0
Toro Rosso,Italian,2016,63.0,13.166666666666666,4.873605700128521,0.7619047619047619,12.023809523809524,-1.1428571428571428,42,2162,10,6,22,0,0,7,67.0,-5.970149253731343,1.5,16.5
Toro Rosso,Italian,2017,53.0,13.1,4.229323762397422,0.675,13.525,0.425,40,1873,13,4,20,0,0,7,63.0,-15.873015873015872,1.325,-6.999999999999999
Toro Rosso,Italian,2018,33.0,13.880952380952381,4.156701207027802,0.7142857142857143,14.047619047619047,0.16666666666666666,42,2031,12,4,20,0,0,9,53.0,-37.735849056603776,0.7857142857142857,-15.0
Toro Rosso,Italian,2019,85.0,11.5,4.180383924485592,0.8809523809523809,12.380952380952381,0.8809523809523809,42,2432,5,2,19,2,0,6,33.0,157.57575757575756,2.0238095238095237,16.0
Williams,British,2014,320.0,7.815789473684211,5.376903877310077,0.868421052631579,6.842105263157895,-0.9736842105263158,38,2064,5,2,22,9,0,3,,,8.421052631578947,
Williams,British,2015,257.0,8.5,5.436364047233597,0.8157894736842105,6.7368421052631575,-1.763157894736842,38,2117,7,3,20,4,0,3,320.0,-19.6875,6.7631578947368425,-63.0
Williams,British,2016,138.0,10.523809523809524,4.9938405731612,0.8571428571428571,9.071428571428571,-1.4523809523809523,42,2347,6,3,22,1,0,5,257.0,-46.30350194552529,3.2857142857142856,-91.0
Williams,British,2017,83.0,11.5,4.212314060417355,0.8,12.425,0.925,40,2129,8,3,20,1,0,5,138.0,-39.85507246376812,2.075,-87.0
Williams,British,2018,7.0,14.904761904761905,2.852551479277454,0.8571428571428571,16.333333333333332,1.4285714285714286,42,2274,6,8,20,0,0,10,83.0,-91.56626506024097,0.16666666666666666,-65.5
Williams,British,2019,1.0,16.404761904761905,2.1191291792888314,0.9047619047619048,16.357142857142858,-0.047619047619047616,42,2361,4,10,20,0,0,10,7.0,-85.71428571428571,0.023809523809523808,-41.0
Williams,British,2020,0.0,15.735294117647058,2.632072849795578,0.7941176470588235,16.058823529411764,0.3235294117647059,34,1825,7,11,20,0,0,10,1.0,-100.0,0.0,-3.4999999999999996
Williams,British,2021,23.0,14.727272727272727,3.787148625890955,0.75,14.113636363636363,-0.6136363636363636,44,2332,11,2,20,1,0,8,0.0,inf,0.5227272727272727,11.0
Williams,British,2022,8.0,14.954545454545455,3.1398011006072033,0.7727272727272727,16.386363636363637,1.4318181818181819,44,2308,10,9,20,0,0,10,23.0,-65.21739130434783,0.18181818181818182,4.0
Williams,British,2023,26.0,14.113636363636363,3.8229168766909902,0.75,13.931818181818182,-0.18181818181818182,44,2291,11,7,20,0,0,7,8.0,225.0,0.5909090909090909,1.5
Williams,British,2024,17.0,15.127659574468085,3.8369882962994484,0.7446808510638298,13.893617021276595,-1.2340425531914894,47,2305,12,7,20,0,0,9,26.0,-34.61538461538461,0.3617021276595745,4.5
